,video_id,title,channel_title,category_id,tags,views,likes,dislikes,comment_total
110,25Qq8k7V83g,Sofia Vergara Reveals Joe Manganiello's Dungeon and Dragons Obsession,Late Night with Seth Meyers,23,test_tag,49407,679,13,86
111,2DTwXdqmRiM,Channing Tatum Grooms James Corden for Magic Mike Live,The Late Late Show with James Corden,24,test_tag,9211843,177091,4222,5898
112,2DvTwsRmGwA,IIHS launches new passenger-side crash test - IIHS News,IIHS,2,test_tag,40646,975,17,0
113,2HcqS508lIo,The US Military's Most Powerful Gun,Real Engineering,28,test_tag,3683648,99636,3032,6348
114,2Hz4sDjXPQY,Kingsman: The Golden Circle | That Dog Don't Hunt Clip | 20th Century FOX,20th Century Fox,1,test_tag,955841,7674,220,593
115,2K57-24FnIM,How We Lie to Ourselves,The School of Life,27,test_tag,494388,23983,801,2862
116,2LkEa-JV9Kc,It’s Hard to Make Friends as an Adult,CollegeHumor,23,test_tag,508618,17652,468,854
117,2Lq5pZrbpHc,Game of Thrones Symbolism: The Mormonts,ScreenPrism,1,test_tag,964005,24729,482,1774
118,2Q--XPdFfF4,Harrison Ford Apologizes to Ryan Gosling for Powerful Punch,TheEllenShow,24,test_tag,242117,3883,105,246
119,2QA57665QM0,REACTING TO MY FIRST YOUTUBE VIDEOS,JessiSmiles,23,test_tag,924064,58684,661,4369
120,2UMfEfUR7wM,Echosmith - Get Into My Car [Official Music Video],Echosmith,10,test_tag,1932276,68782,2810,7075
121,2VXWgIOPgmw,‘WACO’ Official NEW Series First Look Starring Michael Shannon & Taylor Kitsch | Paramount Network,Paramount Network,24,test_tag,7299617,3647,259,2040
122,2WIzsHMcSp4,CHIT-CHATTY GeT rEaDay WiTh mE + LOOK BOOK!! by SimplyFaceLogical,Simply Nailogical,24,test_tag,6075923,414202,5105,112302
123,2YGrrsKs-Xg,Jimmy Kimmel’s FULL INTERVIEW with David Letterman,Jimmy Kimmel Live,23,test_tag,1287641,14600,1220,2294
124,2ZfHXn4rmAc,Georgia State vs Penn State Football 2017,Football Insider,17,test_tag,8413,23,2,10
125,2bOeaS1wREE,Las Vegas shooting update,Washington Post,25,test_tag,82566,74,120,6
126,2caEL5ATPX4,Janet Jackson performs Dammn Baby & I Get Lonely live State Of The World Tour,Concert Daily,10,test_tag,82199,1194,51,194
127,2eAuJIGlp9I,Stephen Colbert Becomes Steven Seagal,The Late Show with Stephen Colbert,24,test_tag,5263886,61604,10588,11242
128,2iObySa91b0,Google Pixel 2 Impressions!,Marques Brownlee,28,test_tag,12797004,350429,9912,60253
129,2jtDZXbN-_c,What if Everyone Ate Beans Instead of Beef?,The Atlantic,22,test_tag,72501,1052,63,321
130,2jvi4e0NIHs,"GROUP HALLOWEEN COSTUME IDEAS | Walking Dead, Riverdale + more!",Tess Christine,26,test_tag,712420,43707,453,2451
131,2m65xSqUWaI,Guy on disability sees Antiques Roadshow highest appraisal episode & realizes he has that same item,Bird Plan,22,test_tag,735427,3398,138,556
